,Review,Stars,City/St,City,State,Retailer,Date
78,"I put the order for a nursery dresser in June and now is almost mid-July, I haven't even gotten an estimated delivery time! Tried to contact the customer service a few times, but gotten pushed around without providing any useful answer! I just need to know if the item is still available for delivery but no one seemed willing to help me with that! Baby doesn't wait! I just need to know if I need to cancel the order and seek other options. Plus, each time to contact them, the waiting time on phone is tremendously long. Just additional notes: when I put the order, this item was marked as 'available'.",1,"Cambridge, MA",Cambridge, MA,Bed Bath and Beyond,2020-07-10
79,"I ordered online and one of the items was damaged. I sent an email to their customer service with pictures of the product. I received an email back stating that they are not “actively monitoring or responding to emails temporarily.” So why would they have the email option. Then I try their chat function but there’s no option for problems with orders. Then their phone # option is limited to 9-5 Monday-Friday when most of us are working. I called today and got a message that my wait time was approximately 20-30 minutes. I waited for 61 minutes, unacceptable. They lost my business.",1,"New Market, MD",New Market, MD,Bed Bath and Beyond,2020-06-29
80,"I ordered a vacuum cleaner on April 21. About a week later, a dust mop (?) arrived instead. Customer service told me to send it back, and then they would send me the vacuum. Well, on May 26, the dust mop was still ""in transit."" The first person I spoke to about this completely lied and didn't do anything she said she would. The next person first tried to tell me I should contest the charge with my credit card company (??), then agreed to re-process the order. It's been a week and still no word. At this point I just want my money back, but that will probably take another few months if it happens at all. I am very upset; I am an elementary school teacher and don't have money like this to throw around. What a shame.",1,"New Orleans, LA",New Orleans, LA,Bed Bath and Beyond,2020-06-25
81,Honestly I have dealt with many bad businesses but this one is the worst by far. They do not show willingness to help customers especially loyal and honest ones. When I contacted the store manager about what happened with my mother she did not show empathy and gave me no options to move forward. Never going there again and neither should you.,1,"Raleigh, NC",Raleigh, NC,Bed Bath and Beyond,2020-06-23
82,"I order some products back in April 15th and I received them on the 25th of April. Open my items and some was broken, so I returned them and they received them by the 27th of April. Here it is June the 17th and I have not gotten anything back. I have talk to 3 different people and all three have lied to me. I just want my money back and I cannot seem to get that. I will never order from them again. No excuse for this behavior. Amazon still getting their orders out.",1,"Norfolk, VA",Norfolk, VA,Bed Bath and Beyond,2020-06-17
83,"After placing my order, I received an email stating the item was going to be delayed. I understand this delay is resulting from an inability to fill orders quick enough during the COVID situation. However, after speaking with a customer service representative a day after the email was sent, I was told my order would be canceled. ",1,"Cambridge, MA",Cambridge, MA,Bed Bath and Beyond,2020-06-09
84,"It would impressive if Bed Bath and Beyond would respect its customer's money like they do with their own. Placing the order and being charged on my credit card was a breeze, within hours and days. BUT, try returning that product after following their return policy. Their return policy states 4 business days from when received. Given COVID let's give them some sympathy and extend it by 100% to 8 days. That's not good enough, they have received my return as of May 19, 2020, today is June 5, 2020 and I was told there is going to be another 3 day wait. I guess my money doesn't matter with them as long as they received theirs. In addition to the long wait you have to also endure and deal with the most unprofessional and condescending people who are supposedly working on your returns. DON'T BUY ON LINE!!!!",1,"Vaughan, ON",Vaughan, ON,Bed Bath and Beyond,2020-06-05
85,"Because of the pandemic, I took advantage of the curbside service by ordering online for a shower curtain/rods/liner. First, my order had been split between two different stores in two different towns. The first order was picked up and items placed in my truck and upon arriving home, I noticed my shower curtain was missing. I called the first location and was told the shower curtain was there so I returned the next day to be informed that it was at another location in another town. I went to that location and was unable to call them and or make any kind of contact. I call numerous times. ",1,"Long Beach, CA",Long Beach, CA,Bed Bath and Beyond,2020-06-04
86,"I have been patient, yes I know we have virus issues but every other delivery has improved greatly in the last 3 weeks. I made a simple order on May 20. Read an article to try alternative stores for paper products and bought a generic brand along with other items to get up to the delivery minimum. I have not had any communication since the order confirmation. There is a tracking number for FedEx which tells me the shipment hasn’t been picked up by them. No communication or estimated delivery time on the website. There is a spot where you can rate your own delivery experience with stars... No way to submit or save, click anything else and the rating goes to blank!!!! Just there to placate, just makes me more angry, wow.",1,"Scotch Plains, NJ",Scotch Plains, NJ,Bed Bath and Beyond,2020-05-29
87,"I placed a telephone order in mid-March 2020, around the time Covid chaos began. I also wanted to use a 20% off coupon which didn't work online. After shipping delays, item arrived damaged. There was no return shipping label provided with my order. BBB offered to send Fedex to my home with a label. This also would be delayed due to Covid. In the meantime, I re-purchased the item from BBB over the telephone because it would be awhile before return would be processed and item re-sent...(I've paid for the item twice at this point on a credit card). I needed a refund for damaged item but instead, BBB sent a replacement. I've twittered and responses have been slow or ignored entirely. 2 1/2 months since original purchase and still no refund. I wonder if I'll ever see that $50 again. Le sigh.",1,"London, ON",London, ON,Bed Bath and Beyond,2020-05-27
88,Been shopping with them for long time. They love to send coupons yet they don't work online due to this virus. They dont make acceptions to accommodate. I was on hold for 60 min and told there is nothing they can do about the coupons that they normally accept in store wether they are expired or not due to their stores not being open that should be adjusted online. I will no longer give this co my money if this is how they treat their customers. Hope it was worth the 10 dollar coupon.,1,"Fort Lauderdale, FL",Fort Lauderdale, FL,Bed Bath and Beyond,2020-05-25
89,"I placed an online order with Buybuybaby on April 30th. Estimated delivery date was May 5-13. I have spent hours chatting with customer service. Have even escalated my issue. As of today..May 18, have not received my order. I understand that shipping is taking longer during this pandemic, however when I track the order it is showing as delivered. The order has been billed to my credit card and I have paid for it. I would just like to know when I will receive. I will think twice about shopping here again!",1,"Kimberley, BC",Kimberley, BC,Bed Bath and Beyond,2020-05-18
90,"I've sent an email requesting for price match for a Google Home that I bought from them, Price Match was advertised on Bed Bath and Beyond's website. I patiently waited for a response, one month later, I got an email saying that they are not monitoring their emails? I tried to use their supposedly chat function, but it doesn't work, you wait patiently for your turn when it's your turn, the chat window closes! I've tried this 3 times! Clearly this company does not want to provide customer service, nor do they honor their fake advertising of price match. Do not buy from them!",1,"Spring, TX",Spring, TX,Bed Bath and Beyond,2020-05-17
91,I ordered online because store was not open at this time. The product came tampered with. I tried to call customer service but the wait time was over an hour so I tried their ‘live chat’ help line. I was #560 something in the queue so I waited and waited. Finally it was my turn for a ‘live chat’ but instead of getting to talk to someone it just dumped me off and put me at #500 and something again in the queue. I’ve paid for a product I can’t use and can’t return right now because of store closings. I feel this is totally unacceptable.,1,"Dodge City, KS",Dodge City, KS,Bed Bath and Beyond,2020-05-15
92,"I placed an online order with Bed Bath and Beyond and I expected a delay due the circumstances with the stores being closed. It took much longer than I expected and you can't cancel and order except the 30 minutes once you place order. I order 3 items, one came quickly the order 2 was very delayed. When I finally got my package it was only for 1 items but it showed online that both has shipped. I was charged and have not been able to get a hold of anyone to discuss my problem. I emailed, I tried calling but couldn't get anyone so today I even decided to try their online chat. Stayed online for over an hour and never got to chat with anyone. I guess I can just chalk this up to a bad experience. I will never shop with them again.",1,"Memphis, TN",Memphis, TN,Bed Bath and Beyond,2020-04-28
93,I have called local store manager on duty of Southlake on to return the Fitbit Versa which is not working properly. He was kind of rude and informed me that they are closed but did not give me any option. Company should send me return label so I can send back and get my refund back. If it will not solve the issue then will go ahead and go for Better Business Bureau and complain again the company.,1,"Southlake, TX",Southlake, TX,Bed Bath and Beyond,2020-04-17
94,"The worst heartless company I have ever shopped at! I asked for a refund for the Beyond + membership that I signed up for on March 17, 2020. I signed up because I wanted to redecorate my house but due to the virus I can not. All the stores closed a few days later and the online shopping has limited or out of stock items. AND shipping is slow, but it does not matter because I can not afford to buy anything. Well, they refused to refund me. The girl on the phone said she and I quote ""I DO NOT CARE about your situation and I am dealing with a world wide pandemic""! SERIOUSLY, everyone is. Well, I called to complain and the girl hung the phone up on me! For your best interest DO NOT SIGN UP FOR THIS MEMBERSHIP OR SHOP HERE! These people dont care about their customers and the prices are inflated anyway. Honestly I have never had an experience like this before. I am speechless.",1,"Fort Lauderdale, FL",Fort Lauderdale, FL,Bed Bath and Beyond,2020-04-05
95,Ordered a comforter set with 2 decorative pillows. 1 pillow is not sewed on 1 side and has a big stain on it. The confit has strings all over it. Very poor quality and will never order from them again. Could’ve got a better one from Walmart.,1,"Greenwood, SC",Greenwood, SC,Bed Bath and Beyond,2020-03-09
369,"Bought from clearance. Great prices on bedding but poor quality. Washed from recommended instructions. One wash, two shams and came apart at the seems. Washed one time on delicate cycle. 3 piece set. One quilted bedspread and 2 shams.",2,"Claremont, NC",Claremont, NC,Bed Bath and Beyond,2021-08-18
370,"I ordered a mattress and two pillows. The pillows arrived today. The mattress was canceled without notice. Now I have to deal with sending back the mattress. On other products, it is very difficult to find country of origin or product details online.",2,"San Clemente, CA",San Clemente, CA,Bed Bath and Beyond,2021-01-25
371,"Today I went to the Manchester CT one to buy flannel sheets. The section in the store for this item was a joke. One little small section. I looked the store up on the internet before I went to get the size they said was there. It wasn't. I also had a gift card, with a little balance on it. I purposely wrote the amount left on it in marker so I wouldn't forget to use. Well, I went to use it, it said 0 balance. So they apparently expired it and kept the balance. Sooo I would recommend anyone who has a gift card, make sure you use it up or don't forget you have it because when or if you do, could happen to you they keep it.",2,"Vernon Rockville, CT",Vernon Rockville, CT,Bed Bath and Beyond,2020-10-27
372,"I returned a window valance because the color was not what I thought it would be. It was received on October 1st, well within the timeframe to make a return. It is now October 10th, and there has been no credit issued. When I called the Customer Service number, I got a recording that the wait time would be 1 and 1/2 hours! I tried to email them and got a return email that said the BBB email is no longer being monitored.",2,"Concord, MA",Concord, MA,Bed Bath and Beyond,2020-10-10
373,I ordered an air purifier online - the only one shown is a white one and I ordered it. I received a black one. The packing slip specifies the pearl white item. BBB didn't contact me of the change. The item is large and dark. I would have preferred the lighter one. When I called it was a 45 minute wait to reach someone. When I wrote a review on the BBB website re customer service - it wasn't published. I give two stars because the item was shipped in a timely manner with notifications of order confirmation and shipment.,2,"San Francisco, CA",San Francisco, CA,Bed Bath and Beyond,2020-09-27
374,"I placed an order through the website on April 9,2020. With the order Gloria Vanderbilt Sophie 3-piece queen quilt set white SKU#69519226. I received my order very quickly and was impressed with that since this was to be a gift for a wedding shower. And with the Covid19 needless to say the shower was put on hold until recently. ",2,"Willoughby, OH",Willoughby, OH,Bed Bath and Beyond,2020-09-09
375,"I know that during this pandemic it becomes more difficult for employees but I recently ordered a lamp and received only the lamp itself, no shade.. Was very disappointed. Was held on customer service for an hour and a half. On the phone now and trying to connect with a representative again... I received half of what I paid for as though whoever packed it did not care. Need to improve on their packing and shipping. Customer service is also very slow and needs major improvement, getting hold of someone is very difficult.",2,"Clarksville, TN",Clarksville, TN,Bed Bath and Beyond,2020-06-03
376,"I ordered an item online - it did not work and was shipped back because the stores were still not open due to Covid. I have yet to see a refund even though it is a week past the extended time they said I would receive it. You cannot call them as their last hold time was one hour 10 minutes, with no option to have them return your call. Their online chat is automated - no personal contact at all - and does not have a prompt for refunds. All I get when I e-mail them is a canned response telling me virtually nothing. I am very disappointed in the complete lack of customer service from their online shopping.",2,"Wichita, KS",Wichita, KS,Bed Bath and Beyond,2020-06-03
377,"My issue is with BB&B shipping & trying to get resolved through customer service. I have shopped with them for years. My last few orders have been damaged. Wait times are outrageous & chat function has never worked properly, i.e. when it is your turn, after waiting & waiting & waiting, it kicks you out if the queue and/or says chat function is not available. One would think that a company on the brink of failing would at least try to provide good customer service. I am done with this company.",2,"Indianapolis, IN",Indianapolis, IN,Bed Bath and Beyond,2020-05-19
378,"Well, I like the way it looks and it's portable...I bought two sand bags to hold them on....One day, I tried it without them...My bike was on the ground...Knocked down by the wind even though it was lock to the wheels..!!",2,"Larchmont, NY",Larchmont, NY,Bed Bath and Beyond,2020-04-15
0,"I bought online and had delivered, same day a car seat/stroller. My card was charged 80 dollars more. I called the NE Target store, lady #1 and manager sent me on wild goose chase. When the answer was so simple, know your policy!",1,"Derby, KS",Derby, KS,Target,2022-01-23
1,"Target refused to explain why my gift card not working. I already went to Target store to retrieve video clip showing that I checked balance before shopping, I had $100 balance in my card at AM10:17. But at AM10:35, this card cannot be used when I check out. Even Target store manager/security can provide such proof, I still cannot get the balance back and Target cannot explain where the gift card balance went. ",1,"Los Altos, CA",Los Altos, CA,Target,2022-01-06
2,I decided to try shopping Target online because I couldn't find the Akedo mystery pack anywhere else. The reason for buying these are to find rare action figures. You don't know which character you are getting until you open the package. One of the characters are very rare and worth a lot of money. I ordered 10 packages the first time and over half had been opened. I was very disappointed but decided to give them another opportunity. The next time I ordered 20 Akedo mystery packs and when I received them every one of them had been pre opened. They had to have been shipped that way from Target because they were in sealed Target boxes. I probably shouldn't have ordered a second time. That was my mistake. There will not be a third.,1,"Paris, TX",Paris, TX,Target,2022-01-06
3,TARGET lost the card and trying to get a replacement has been a nightmare. I have been disconnected (hung up on) 17 times. You cannot understand what they are saying because of broken English. I am still waiting for the replacement card that I ordered back in November. Very rude and hard to understand. My poor granddaughter still has not received her Christmas gift. DO NOT BUY ANYTHING ONLINE FROM TARGET. HORRIBLE EXPERIENCE.,1,"Macomb, MI",Macomb, MI,Target,2021-12-30
4,"Complaint against Target today 12/27/2021. I’m very disappointed for action from the Team Associate to resolve an issue related to don’t let me buy a little Lego bag toy for my 7 years old son. This store isn’t oriented for the customer service. SuperTarget located at 10150 Bloomingdale Avenue. Riverview, FL. 33578. USA",1,"Riverview, FL",Riverview, FL,Target,2021-12-28
5,"MJ has only web-chat for tech support. Long wait & time-consuming service. When problem not resolved and I wanted to return new device, Tech Support told me to talk to Billing, and vice versa. Nothing resolved.",1,"Greenfield, TN",Greenfield, TN,Target,2021-11-05
6,"I placed an order at the beginning of October for some photo prints. Today is 10.14.21 and I am still waiting on that. I was trying to get those prints before my trip out of the country, I am leaving today without photos. Do not bother to order photo prints from Target is going to take forever, look for other alternatives BUT Target.",1,"Waukegan, IL",Waukegan, IL,Target,2021-10-14
7,Terrible service. Do not shop here! Ordered same day pick up at store. Told it would take up to 2 hours to process. 2.5 hours later I stopped by the store. Order still not processed. Told I could wait but no guarantee they would get to it before closing. Staff had no interest in fulfilling the order. Will not shop at Target anymore.,1,"Chico, CA",Chico, CA,Target,2021-10-11
8,"This is one of several visits I have made to Target's app to try and make a purchase. Firstly, search results leave a lot to be desired. Search for something and get results that have nothing to do with what you are looking for. Search with different key words and it gets more aggravating and more irrelevant. Then, if you do find things you'd like, there is a guessing game on shipping costs. Some items qualify for free shipping and some don't. Listen Target, most shoppers don't have time to play ""does it or doesn't it qualify for free shipping games"". I can understand why Amazon is so successful online, like the company or not. It's a very simple process without wasting time. If Target would put as much emphasis on making their business more convenient for the public rather than more convenient for Target then maybe their online sales would should increases like Amazon's does. TO the CEO, worry more about improving online customer service than forcing divisive cultural issues down the public's throat!!",1,"Pueblo, CO",Pueblo, CO,Target,2021-10-10
9,I ordered school supplies online and was given estimated delivery date. The next day I received an email that my delivery is delayed... This happens every time I order online from Target.com. I'm not happy with their online business.,1,"New York, NY",New York, NY,Target,2021-09-15
10,- In store don't care online customer.,1,"Arlington, VA",Arlington, VA,Target,2021-08-30
11,"I purchased over $200 of merchandise from Target, $75 on a Store Merchandise Card and the balance on my credit card. I ended up not needing $90 of it, so I returned it. They put $75 back in Store Merchandise Credit and $15 on my credit card! WHY? I spent $125 on my credit card, so ALL of the $90 should go back on my credit card. I spent more than enough to ""eat up"" my store credit. WHY??? You are controlling your customer by FORCING them come back into your store. I covered my $75 and put MORE on MY credit card, so do the credit the CORRECT way. UGH - totally NOT customer friendly!",1,"Collegeville, PA",Collegeville, PA,Target,2021-07-18
12,"I placed an online order on 06-23-21, with a promo of 2 day shipping. After my order was placed, the estimated delivery date was 07-29-21. That does not seem like 2 day shipping. I called Customer Service on 06-28-21 to see if I could get my order shipped quicker, and was told that the request was sent, and I would receive an e-mail with an update if my request was approved. No e-mail sent. On 07-01-21 I called again to Customer Service to Cancel my order entirely and was told I could not cancel my order because it was not processed yet. What a Line of Bull. Wouldn't it make more sense to cancel my order before it is process to ship? I was told that when I receive a message that my order has shipped, then I could cancel my order. This is a backwards policy. It cost the company money for labor and material to process an order and get it shipped, when it doesn't cost anything to just cancel the order. My name is Lisa ** and I approve this message.",1,"Ponchatoula, LA",Ponchatoula, LA,Target,2021-07-01
13,"As someone who designed Targets, I can promise they care as little about the customers as humanly possible. They purposefully design their stores so you get lost, have hard times locating what you want, and force you to spend as much time as possible in the store. This leads into the reason I will never shop at a single Target again in my lifetime. Upon needing to have a new bank card issued, I went to Target and wrote a check, to which it was declined even though there was enough money in the account to cover the purchase 100's of times over. Why was it declined? Well, because in order to write a check to Target, you must first have a good history of writing good checks. ",1,"Minneapolis, MN",Minneapolis, MN,Target,2021-06-23
14,Don’t order from target.com. They pack your item so tight that it gets damaged. Then it is out of stock at all your local stores. This all could be avoided if they just knew how to properly package a item. Will never use target.com again.,1,"Shiloh, OH",Shiloh, OH,Target,2021-06-12
15,"Target is the prime example of corporate America. You would think all of their items are made of gold, diamonds and silk by the way they price their items. More people will almost always pick Walmart over target due to the fact that Target is a uppity type of place to be in and it's uncomfortable as a minority to even walk through those doors like we don't belong there unless we work there for a regular paycheck. I'd rather shop at Dollar General if Target was the last option for a major supermarket.",1,"Youngstown, OH",Youngstown, OH,Target,2021-05-10
16,I would give them a zero star review if I could. I ordered items at the drive up and when I got there I realized I had no room in my trunk for the items so I asked the rep if they can kindly put it in the front seat since there was no room in the back. The rep got very agitated. Opened the door. Put the items in and slammed the door shut and stormed off. Extremely uncalled for and very rude. I will go out of my way not to go to Target in the future. I used to be an avid Target shopper. A real shame.,1,"Lakewood, NJ",Lakewood, NJ,Target,2021-04-26
17,"The Target in St. John, Indiana is not consistent on enforcing their mask policy. I've have seen so many people with either no mask or a mask on their chin. No one says anything to them and they are left alone to shop. My husband went to visit the store to grab milk and was asked to leave if he didn't wear a mask. He has no problem wearing a mask, but was very surprised they asked him to leave. He even called me and said, ""I thought you said the mask mandate is not followed here at this store, that no one is wearing them."" I told him that's true. I visit that store twice a week and wish I took pictures of the amount of people not wearing a mask, mostly women. I've only seen one man with no mask. I guess women are allowed to shop at Target with NO MASK, but men are required to wear a mask to shop. What's up with the discrimination at this location?",1,"Dyer, IN",Dyer, IN,Target,2021-04-08
18,"As soon as I went into the Target Store I was stopped by a security team member who stated “because my dog was not old enough it could not be in the store.” I stated my dog was for service to me for several reasons. I was then asked by this employee did I know that it takes a year for an animal to be trained to be a service animal! I was not asked how old my animal was. I was not asked if this was a documented service animal. My dog is harnessed, collared and leashed. I asked guest services for a copy of this policy. I did not break any policy and upon getting a printout copy I decided not to buy the items in my cart. I am not sure if I will shop at Target ever again.",1,"Bloomington, IN",Bloomington, IN,Target,2021-03-09
19,I purchased an electronic kitchen appliance. I drove 100 miles round trip. Upon returning home and opening the box I realized that it was missing a piece. I contacted Target to see what they could do for me and their only solution was for me to drive another 100 miles to trade it! My first and last shopping trip to Target!,1,"Hyrum, UT",Hyrum, UT,Target,2021-03-06
20,"It became well known to me at the conclusion of an ""entice hackers to catch identity thieves"" scam that Target gift cards were a popular method to scam consumers. The asset manager, who had finally asked me if I was being scammed, to whom I had replied ""I don't think so!"" was finally able to get through my trance, for lack of a better word. For one hour and fifteen minutes I entered and exited the store and was witnessed by the same clerk near the same self-checkout counters purchasing up to ten gift cards separately. Shortly after the conclusion of a terrifying four-hour experience, we were present at the Target store with a deputy sheriff. That same asset manager provided 21 copies of receipts for $500 gift cards. ",1,"Marshall, WI",Marshall, WI,Target,2021-01-27
21,"I purchased 2 Apple Watches Series 6 from the Target website and when the package arrived one item was correct and one was incorrect (Series 3 Apple Watch). I understand that the warehouse gets the orders wrong and I was understanding of this issue. I went in to the North Hills Target Store in Raleigh, North Carolina to return the items but the team leader - Cleo was very rude to me. First visit, he refused to refund the items as it “was going to mess the store inventory up.” Like I give a **! He told me to contact customer service.",1,"Raleigh, NC",Raleigh, NC,Target,2021-01-17
22,"I have purchased multiple gift cards from Target.com using my Target REDcard with no issues. However, that has changed. I recently ordered some gift cards. The order initially processed and then I received an email indicating the order did not process but gave no specific reason. I called Target REDcard and was referred to Target.com who was told me a glitch occurred and it will be corrected and try again later. When I tried again the same issue occurred. I called back and was told the the orders were cancelled and that they would clear out overnight. Target.com shows that the orders were cancelled; however, Target REDcard still have the orders pending. I currently cannot use my card and calling Target REDcard no service has been a waste of time. I asked for a supervisor and that request was rejected. It has been over a week and the issue remains unresolved.",1,"Eatonton, GA",Eatonton, GA,Target,2021-01-13
23,"TERRIBLE CUSTOMER SERVICE!!! I bought a night stand from there. While building it I noticed 2 cracked load bearing boards, which I glued and clamped and all the holes needed drilled out because they were not deep enough and would have cracked the boards installing the screws. There was also a repair that had been done to the front face using putty and sand paper, but wasn't re-stained so I had to touch that up. I also had to put in supports on the bottom shelf because there was none per design and would have sagged as soon as I put weight on it.",1,"Georgetown, PA",Georgetown, PA,Target,2021-01-12
24,"I wouldn’t have believed a Target could have such bad customer service, if I’d not experienced it or witnessed it myself. On CHRISTMAS EVE (advertised closing 8pm), announcements blared overhead every 5-10 minutes from the time I walked in shortly before 7pm, stating everyone needed to be IN LINE by 7:30pm so that all customers were out by 8pm closing. As 7:30pm approached, the announcement changed stating the line would be cut off and if you weren’t in line you’d have to come back on Saturday, Dec 26th. Never in my 52 years have I ever heard of such a thing occurring in retail, but financial circumstances had me shopping on Christmas Eve for the 1st time ever, and I wasn’t taking any chance of being told I couldn’t purchase gifts for my grandson.",1,"Culpeper, VA",Culpeper, VA,Target,2020-12-30
25,"I ordered my gift cards online because of the delivery date. These cards were to be delivered on 12/9 which was ok but I have to mail these cards out so I didn't have much room for delay. Today is 12/12 and my cards have still not been delivered. Now I am being told that they are scheduled for delivery today (although the tracking says the number is invalid!) by supervisor Logan, at Target gift cards. As I suspected the cards were not delivered today is 12/13 and they should have been here on 12/9 and of course now the tracking number is no good, Target only tells you after you call and complain that the cards will now take 7 business days. The customer service people refuse to understand that these were gifts to be mailed elsewhere.",1,"Lenoir, NC",Lenoir, NC,Target,2020-12-13
26,"This morning at 7:35am I went to ""drive up"" my pick up order at **, TN. that contained 2 items. When I arrived at 7:35am, I let them know that I was there per their app instructions. I was the only car there & when 7:50am came and my order still has not been delivered I called guest services. After waiting for guest service to answer the phone for a minute, I advised the rude nameless associate that I had been waiting 15 minutes for my order. She rudely told me that the drive up lady was on her way out. I told her that I did not see her yet, & she repeated herself rudely. I asked to speak to a manager & she told me he was busy. I told her that he could not be too busy to speak to a customer. Once again she said he was, & I said I would wait. So she asked me my name & placed the phone down so I could wait. ",1,"Chicago, IL",Chicago, IL,Target,2020-12-03
27,"Buyers Beware of Target's Electronics Dept and 3rd party Market Source Inc mobile dept in Target, employees cannot be trusted with your personal info while they are setting up your new or used mobile phone. They will hack your phone, steal from your info and do idenity theft on you and the store managers and corporate will tell lies on you and back her untrustworthy employees up for committing crimes against customers. That's how they really make their money doing identity theft on customers. ",1,"Uniontown, PA",Uniontown, PA,Target,2020-11-22
28,"Due to the Covid-19 outbreak my husband and I decided to use online shipping for Christmas this year. Yesterday we received a gift we had ordered for our grandson, the Target box it was shipped in was in perfect shape with the target tape across it. When we opened the box the Fortnite Deluxe Bus box was crunched, ripped, and opened. Clearly the person putting in the box knew this and shipped it anyway. Returned it to Target to find out they are out of stock at every store within 150 miles and online. ",1,"Burlington, IA",Burlington, IA,Target,2020-11-20
29,"Purchased a 70"" TV only to find out that the TV in my box was not the one I purchased. Apparently, someone in Target's supply chain (Wisconsin) swapped out with an old/non-working TV and stole the good one along with all the accessories (legs, manual, remote, etc). The TV cost me close to $900 and I paid an additional $85 for the 3 year warranty.",1,"Madison, WI",Madison, WI,Target,2020-11-13
30,"I received some (2 FREE coupons Up to $5.00 each from Kellogg's) to replace some Pop-tarts that I purchased. I went to Target to get my FREE product. I purchased my things. I give the girl my coupon, 2/$7. Cereal was one of the items I purchased. So I gave the girl my coupons and use my $5.00 free coupon I gave her ..She said, ""We don't take these here."" I said they are from the manufacturer. They aren't printed, I got them from Kellogg's in the mail. She tried it again and said, ""We don't take these."" I would have gone to customer service but the lines were long and also people behind me..So I gave her back the cereal. With using the $5.00 off coupon I would have only paid $2.00. That wasn't going to happen/So why if Target won't take those coupons and they sell the merchandise in the store. So I'd like to know what's up with that.",1,"Bakersfield, CA",Bakersfield, CA,Target,2020-10-19
31,"Not the first time with them. Stores are good, shipping is horrendous. Don’t use this part of their service, it never goes right.",1,"Granada Hills, CA",Granada Hills, CA,Target,2020-10-01
32,First off I would like to say that I have been a BIG supporter of Target for 20 years and have always supported them over Walmart. In fact I have never stepped into a Walmart over the last 20 years. With that said this will be the end of my relationship with the Target corporation after the way I was treated. I placed an online order today for some Apple goods and they were cancelled because I used a gift card. I called and they apologized and said it was their mistake and they would get the order replaced. Well after being on hold and transferred to multiple people and finally ending up with a supervisor named “Jose” after multiple hours he said there was nothing he or anyone could do to get the order replaced even though he admitted it was their mistake. ,1,"Sherman, TX",Sherman, TX,Target,2020-08-19
33,I attempted to shop in Target on Wade Hampton Blvd. in Greer SC. Many of the employees had a mask that covered their mouth only. About a third of the customers had no mask and no one requested that masks should be worn. There was NO clear sign of reasonable dimension (or I could not find it) that stated that masks are required. With the huge number of new COVID 19 cases in town I expect the local management to clearly support the announced policy by Target Corporation.,1,"Greer, SC",Greer, SC,Target,2020-08-01
34,I visited the Target location at 4000 Monument Road to return a gift my son received for his birthday Sat. His grandma purchased him a car seat however it wasn’t safety equipped so I was returning the chair to get a more secure one. I was told they didn’t know why I couldn’t return without a receipt. I explained that it was gift and a gift receipt wasn’t provided. The cashier then told me “she didn’t know why I wasn’t able to return without a receipt.” I called customer services and was advised that the item could be return however I would have to get someone else to do it.,1,"Philadelphia, PA",Philadelphia, PA,Target,2020-07-28
35,"I went to purchase a number of items for my son's birthday. Found most of what I was looking for. As I was leaving to finalize my purchase, I waited patiently in line..following social distancing guidelines. A very nice security officer told me to wait a minute while the girl on duty at the self checkout lane wipes down the kiosk used by the previous person in line. The girl in question, looked me in my face with a look of disdain and refused to wipe down my kiosk. Instead, she wiped down another kiosk for the ** woman behind me. I said absolutely NOTHING to her. But, I DID pointedly stare at her as I was leaving. Whereupon, she turned her body so I could not read her name tag. I plan on making a point of THIS incident on social media and will actively call for a nationwide boycott of ALL Target stores.",1,"Saint Petersburg, FL",Saint Petersburg, FL,Target,2020-07-18
36,"I placed a delivery order on July 12 at around 450pm. I had the option to select a delivery time between 6-7 pm.. Fast I thought. I forgot a few items so I went ahead and added them to the email confirmation I had received. I called Target at 5:01 to make sure my order was updated. The man said, ""Yes I see them both."" I received part of my order at 7:59 so at 8:30 I called 612-815-6755 to inquiry about the rest of my order the young lady called the warehouse and they told her, That they had sent me a text and I Didn't respond (LIES) so my order was never processed. Why are you Lying!! Why is part of my order (5 items in my house). I liked target. But Because they lied I will definitely go elsewhere for my groceries. So many other options out there!! Beware of the lies,",1,"Manassas, VA",Manassas, VA,Target,2020-07-13
37,"A few days ago I visited the Target store in the Holyoke mall located in Holyoke Massachusetts. While shopping I came across an item that was priced at 0.00. In our state we have a price accuracy law. This means that if a price at the time of purchase isn't accurate to the price advertised, then if it's under 10 dollars, it's free and if it's over, you take off the 10 and charge the difference. The 2 employees assisting me would not at all follow this law even after mentioning that I was well aware of them having to follow our state law. This is the time when a security guard stood closer as to intimidate the situation until I stopped ""fighting for my rights."" 2 different price tags on the item was priced at 0.00. 15 dollars is what they told me it was going to stay at so I could either buy it for that price or not at all and that it wasn't up to them to uphold any law so I could call the cops if it was such a law and bring them to court for it. ",1,"Springfield, MA",Springfield, MA,Target,2020-05-25
38,"I purchased 3 items at Westminster Mall, Westminster, CA store. Blonde cashier offered overflow cashier checking out for less than 5 items. I placed my 3 items on her table. She rudely told me I needed to turn over items so she could scan. She was wearing gloves and face mask. I asked why I needed to handle the items she was scanning. She responded I should've known I had to turn items over for her. Nothing was posted anywhere in store that I could see requiring I handle items once items in front of cashier. Needless to say, cashier used rude and unprofessional tone when she told me to turn items over. Then when said I was going to complain, she said ""Good Luck."" Never again will I shop at this store.",1,"Huntington Beach, CA",Huntington Beach, CA,Target,2020-05-20
