,Review,Stars,Dt,City/St,City,State,Retailer
87,"We purchased a dutch oven on 11/23/2020. We chose to pickup at UPS and the estimated date is 11/30. But WS didn’t delivered it on time and, the next day, they CHANGED the delivery date. The delivery date has been changed for three times, and we still haven’t got our dutch oven. Estimated delivery date 11/30/2020 —>Changed to 12/4/2020—>Changed to 12/07/2020—>Changed to 12/10/2020.",1," Dec. 10, 2020","Austin, TX",Austin, TX,Williams Sonoma
88,"When ordering a set of knives on W-S website, it showed it was in stock and ready to ship... Once ordered, it's delayed for a month... Then, waiting a month, and it's showing it's delayed for another 6 weeks!. Terrible company (order # **). Lame company. They don't even tell you items are delayed and you have to contact and find out yourself. Never buying here again.",1," Dec. 8, 2020","Saratoga, CA",Saratoga, CA,Williams Sonoma
89,"During the Thanksgiving sale, Nov 27, I saw a deal on the Williams-Sonoma website for ""Philips 3200 Series Fully Automatic Espresso Machine with Milk Frother"". I ordered it. The delivery date Nov 4-8. After purchase, on the email confirmation, I immediately saw that the item was on ""back-order"", but I waited till Nov 7 to see any change. Nothing had changed. Still in ""back order"". On Nov 7, I called customer service and asked him if they even had this inventory. He had no idea. I asked for a cancellation.",1," Dec. 7, 2020","San Jose, CA",San Jose, CA,Williams Sonoma
90,"Let me first state that I have been a long loyal customer at Williams and Sonoma over the years. However when a problem did arise it’s of cookware that I purchased from them. They did absolutely nothing and treated me rudely and poorly. I purchased Cuisinart advantage ceramic nonstick cookware set, two sets, from them about six months ago. The quality of the pots and pans is horrible. The cheaply made, the lids never fit well in the boiling water sprays all over, moisture evaporates from the cooking food, everything sticks and burns.",1," Dec. 6, 2020","Newtown, PA",Newtown, PA,Williams Sonoma
91,"I’m so disappointed in the customer service I received from Williams-Sonoma. Although I’ve always enjoyed using and gifting their products, this will be my last purchase. I realize this is inconsequential to such a large company. However, maybe this complaint will help someone else chose to spend their money elsewhere and avoid the issues that come with dealing with this company.",1," Dec. 6, 2020","Oklahoma City, OK",Oklahoma City, OK,Williams Sonoma
92,"I have received another notification that a delivery has been made - yet again, three weeks early. Be advised that we will not be paying for this item and contacted our credit card company yesterday to set this in place. I asked repeatedly for these orders to be canceled and have instructed the recipients to refuse delivery so why don't you have OnTrac or whatever delivery company used by WS arrange to pick it up at the front door. I will never, ever order from your company again for any holiday deliveries. For the money I spent with you, and not getting what you offered and then your not effecting a cancellation that I asked for is unbelievably poor management and customer service response. I'm certain the company DOES NOT CARE in the least that it is responsible for being such a big spoiler of fun during this particularly hard holiday season and are simply very happy to have my almost $500. ",1," Dec. 4, 2020","Denver, CO",Denver, CO,Williams Sonoma
93,I ordered a coffee maker with free shipping. Sounds like it should be easy right? It took a while to see the Invoice and I immediately saw they charged for shipping! I called instantly to ask to cancel the order. I knew if I waited it would only get worse but it got worse for sure. They told me that they couldn't cancel the order because it was ready to ship that day from the warehouse and THEY HAVE NO CONTROL with the warehouse. Mmm... Sounds a bit flaky for sure. ,1," Nov. 27, 2020","Morro Bay, CA",Morro Bay, CA,Williams Sonoma
94,"Ordered a pricey Apilco 9"" tulip bowl to complete my collection. Have bought at least $12k in product from WS in the last 30 years. Bowl arrives from the Olive Branch, MS distribution Center with a 1"" chip on the rim. Called immediately to ask for a replacement - told to go to a store, at first; alas, with CoVid 19 on the uprise in August, 2020, I said no, I had ordered online for a reason. Ultimately, after going through the paces and offering to send back the broken bowl through the mail at their expense, they said they would process a replacement. Fine - I also added, as a word of caution, that there was no packaging at all on the original box, so could they please pack it a bit, so this doesn't happen again.",1," Nov. 14, 2020","Middle River, MD",Middle River, MD,Williams Sonoma
95,"I purchased few hundred pieces of an item for gifts. After about 10 days, the price in item dropped to 1/2 price. I asked store manager for price adjustment on my recent purchase. It has been more than 2 weeks. No answer yet!!",1," Nov. 2, 2020","Purchase, NY",Purchase, NY,Williams Sonoma
96,"About 2 years ago we purchased an American made sofa sectional couch from Williams and Sonoma price $11,000.00. 4 separate pieces (2) love seats (1) chaise (1) sofa and 3 ottomans. All four pieces fell apart. Dozens and dozens phone calls. Customer service was horrible. Finally piece by piece were replaced. Within a few months the replacement piece experienced the same exact results. It fell apart. I love this county and anything American made however this design had a major default. They did respond and removed all the pieces for the second time with a credit to purchase another couch. HOWEVER now they are saying the credit was never process and we cannot order our new couch till that has been completed. Just absolutely no horrible to act for a 11,000.00 product... We must have made 30-40 phone calls to this company with no final resolution.",1," Oct. 28, 2020","Montauk, NY",Montauk, NY,Williams Sonoma
97,"I have tried to order cabinet hardware three times now. The first two orders were pewter, the first had black tarnish that came off all over my brand new cabinets and hands. After replacing the order, the second did the same. I gave up and ordered brushed nickel, the screws in the directions said they were 1.5 inches. They actually measured 1.25 and fit NONE of my cabinets. Half of the order never actually shipped. This company sells imported garbage and is operationally broken.",1," Oct. 9, 2020","Enumclaw, WA",Enumclaw, WA,Williams Sonoma
98,I honestly wish I read the reviews here first before purchasing the Le Creuset cookware set. I saw a three piece set was on sale. Since I just purchased a home I figured having new cookware would be a great start. Another bonus I had a gift card I had received from work which was over 2 hundred dollars. My first warning sign was that the set was backordered but it was in sale so I took my chances. I placed my order and saw I would not receive for till December and I placed the order in September. I save my receipt and I received an email one as well. ,1," Oct. 8, 2020","San Jose, CA",San Jose, CA,Williams Sonoma
100,"Tried the Galaxy Croissants at a neighbor's house and we loved them. Neighbor said she buys multiple items from them and so when we went online to order the croissants we also opened a WS credit card for future orders. When order confirmation arrived the total was $82 when it should have been $70. An overcharge on my first order that WE had to find. I contacted WS by phone. Person was courteous and understanding but, between holding and then the actual conversation, I was on the phone for over 30 minutes. She finally agreed to refund the $12 for the overcharge. My order was scheduled for delivery on 7/3. It never arrived and no shipping delay notification was received. Therefore, I emailed on 7/7 and the response was sorry, it will now ship.",1," July 17, 2020","Mahwah, NJ",Mahwah, NJ,Williams Sonoma
101,"I ordered a Le Creuset braiser from Williams-Sonoma online. The item was listed as 'IN STOCK' on 31 May 2020. When I received order confirmation, the estimated arrival date was 26 June 2020. I thought that odd for an in stock item, even with the corona virus delays. I kept checking for tracking info on my acct and the notification never moved off ORDERED. I called several times about this...waiting a minimum of 25-30minutes on hold each time. I persisted tho & was rewarded with indifferent associates who only parroted that the estimated date was 26 Jun. I finally reached a wonderful person on 25Jun who agreed with me that it looked like the order was NEVER processed & took the matter to her supervisor who was to call me. ",1," July 3, 2020","Chipley, FL",Chipley, FL,Williams Sonoma
102,"Order for 6 CO2 cylinders was placed on 5/12/20 for $195.95. I was told the product would be received on 6/6/20. Then, I was told it would not arrive until 7/7/20! I tried to cancel at that time and was told no cancelation was possible because shipping process had begun. Now, I am told the product won’t be received until 7/24/20 (if I am lucky). I have asked for a complete refund. This level of service is appalling. I don’t know if I would ever order from this company again.",1," June 30, 2020","Haverford, PA",Haverford, PA,Williams Sonoma
103,Service refused to repair/replace the broken cup without an order # or receipt. Apparently no one is to accept a gift without asking the giver for proof of purchase first. The only thing worse than the quality of their product is their quality of customer service and their willingness to stand behind their products!,1," June 22, 2020","Columbus, OH",Columbus, OH,Williams Sonoma
104,"Ordered a very expensive cutting board online approx 4 weeks ago. I knew it was on backorder. The item was packed in a very large box without any packing material. There is a plastic removable tray on the cutting board that made the item a little wider than the box, so it was packed on an angle. No packing material, large box, plastic item. Needless to say the plastic cracked. Tried to call Williams-Sonoma since I couldn't get a return label from the website. Was on hold for over 20 minutes. When you order an item from a VERY expensive company like WS, you expect exceptional service. Felt like I was on hold with a cable company. Won't shop here again after my item is replaced.",1," June 22, 2020","Carol Stream, IL",Carol Stream, IL,Williams Sonoma
105,Beware they will charge a return fee if you don't like your purchase. That little bit of information is not disclosed in their return policy. Very shifty business practice.  I've contacted them 3 times requesting they indicate where the return fee is disclosed on their website; and three weeks later I am still waiting for a response to my very simple question.,1," June 18, 2020","Le Claire, IA",Le Claire, IA,Williams Sonoma
107,"I feel very disgusted to have to write this review, as I never foresaw this situation happening to me. I am a very educated woman, one with a doctoral degree and a strong presence in the community. Today, June 11, 2020 while visiting Williams Sonoma at the Biltmore Fashion Square in Phoenix, Arizona at around 4:35pm, I experienced abhorrent behavior from their assistant manager. I came to the store to buy the Breville Waffle Maker for my family. While browsing through the store for other home items, the assistant manager followed me very closely. I was interested in a throw for my home and wanted to feel the texture. While doing so, she ran up to me and alarmed me by screaming “DO NOT TOUCH THAT”. I turned and told her, “You are making me feel very uncomfortable with the way you’re treating me. I’m going to speak with your manager."" She responded with “I AM THE MANAGER.”  ",1," June 12, 2020","Scottsdale, AZ",Scottsdale, AZ,Williams Sonoma
108,"I ordered a Breville bread maker in April, with continued delays and te last communication was that as of June 1, the earliest ship date was mid-August. I cancelled my order on June 1, and lo and behold, not only did customer service not get back to me, but they shipped my order which was delivered today, despite my request to cancel the order. This looks like bait and switch to me, and I’ve contacted my legal firm and reported this to my credit card company as well as the Better Business Bureau. Apparently this disreputable business practice is quite common for Williams Sonoma. As a chef with a very invested chef’s kitchen, I would never order anything from this company.",1," June 10, 2020","Cypress, TX",Cypress, TX,Williams Sonoma
109,Updated on 07/17/2020: Ordered product in May. Delivery date moved five months out to September. Charged twice once at purchase and again 2 months later. This seems to be deceptive practices to make it look like they have sales when they don’t even have the products.,1," June 7, 2020","Reading, PA",Reading, PA,Williams Sonoma
110,"I have never been so disappointed and frustrated with a product or a process. I have been trying to figure out how to get a replacement for a defective gift for thirteen days now!!! The latest snag is the above email I received that indicated a return label was available to be printed. In fact, the link took me to another page, involving adding my information (again) only to then be taken to a page that shows the return of the defective item is ""in process""--which it clearly is not since I don't have a return label!!! So, silly me, I thought perhaps I could be directed to a return label that I could print out for this darn return if I could only talk to a human being customer service representative on the phone.",1," June 2, 2020","Wagram, NC",Wagram, NC,Williams Sonoma
111,"I used to really aspire to shop at Williams-Sonoma and placed my first purchase when Le Creuset went on sale. I ordered a white grill skillet that came with red marks all over it. I also ordered a white casserole dish but received a smaller version instead of the actual one I ordered. When I called them for customer service, I was on hold for an hour, gave up and resorted to reaching out via Twitter. Honestly, this whole experience was so disappointing and exhausting that I just gave up. The promos are tempting but when you receive damaged or wrong product, why bother? I will shop at Bed Bath & Beyond or Amazon moving forward.",1," May 26, 2020","Astoria, NY",Astoria, NY,Williams Sonoma
112,"Online order executed incorrectly. On April 27, 2020, I placed an online order for a wok to be gift-wrapped and sent to my daughter-in-law for Mother's Day. My credit card was charged $117.94 which included sales tax and gift wrap. Shipping was free. About 2 days before Mother's Day, I checked the order in my online account to see the status of the order. It stated that the order was delivered on May 1st. I called my daughter-in-law to make sure she received the package, and she stated that she had not received it. I dug a little deeper online within the tracking option, and it said that shipping was delayed, and delivery would be on May 26th. While I was not happy with seeing this, I decided to be patient as most deliveries are indeed delayed these days because of COVID19. I notified my daughter-in-law about the situation and told her that her gift would arrive later in the month.",1," May 16, 2020","Menifee, CA",Menifee, CA,Williams Sonoma
113,"I had placed two orders on a Monday for a total of $750.28. The transaction were in processing through my bank so I figured everything was ok. Wednesday when I checked on the status both orders had been canceled by Williams-Sonoma. I called to see why and was told it had to do with my billing address. I re-placed the order with the representative on the phone for, she gave me a 20% discount off the milk frother as well as changed the price of the espresso machine back to the sale price I had originally purchased it for (as it was no longer on sale). She assured me there would be no problems this time. ",1," May 14, 2020","San Diego, CA",San Diego, CA,Williams Sonoma
114,"Williams-Sonoma has really gone down the tubes. I just called to speak to customer service to ask about an order I was having trouble placing. I waited for 50 (!!!) minutes; finally the rep got on. They must be outsourcing to Nigeria now, because I couldn't understand the rep-- bad accent plus something echoing in his headset. He asked me questions and I could not understand him so asked him politely to repeat the questions. He repeated the questions (with a mad voice over-emphasizing every syllable like I was a moron). Finally he got frustrated and just hung up on me! After I waited almost an hour to speak with him!! I would think with 35% unemployment in our country #1-- why not hire American workers! And #2-- if outsourcing, with all the people looking for jobs can't they find anyone more professional?! Williams-Sonoma gets an ""F"" in customer service!!",1," May 8, 2020","Dallas, TX",Dallas, TX,Williams Sonoma
115,This was resolved after numerous calls to PB.,1," Oct. 23, 2021","Beverly Hills, CA",Beverly Hills, CA,Williams Sonoma
116,"On April 14th I placed an order for $367.58 with Williams Sonoma. On April 15th they charged my bank for $261.01 and on April 16th they charged my bank for $106.57. This totaled the $367.58 of my order. The charges went through as authorized. On April 17th Williams Sonoma made three separate charges to my account in the amounts of $367.58, $15.94 and $63.92 totaling an additional $545!!! I called my bank and was told the only way these charges could be removed is by Williams Sonoma because they are in pending status and Williams Sonoma has to release them. I tried to stop the additional payment with Paypal and was told they can't stop the payment because of a contractual agreement. ",1," April 19, 2020","Egg Harbor Township, NJ",Egg Harbor Township, NJ,Williams Sonoma
117,"December 2019 - I arrive at Williams-Sonoma to return a gift I couldn't use. I wanted to purchase other items instead. However, this gift I came to return was purchased online and I was told I had to process the return and wait for a gift card in the mail... not e-mail, snail mail. I'm assured once I receive this card, I could return to the store in New York City with all of my heavy new things and use the gift card to re-purchase my items. Woof. But OK. Not the biggest deal in the world. OK. We do this. I SEE with my own two eyes that they have the correct address when they process the return. Card never comes. I call up. They issue a new one.  I give it a full 5 weeks. THAT card never comes. I call back up. I find out they were using all of the wrong information and likely sent the card elsewhere. I'm not sure how this happens. I have a hard copy form with the correct information.. ",1," March 13, 2020","New York, NY",New York, NY,Williams Sonoma
118,"I bought two scotch glasses in December and both broke by March. One broke while getting ice and the other broke when it was knocked by a coffee mug. Not only was that frustrating, their customer service required a receipt to even care about their faulty product... Knowing I purchased in store two months ago. They said they could only help if it was an online order. WOULD NOT BUY ANYTHING FROM THEM AGAIN.",1," March 4, 2020","Atlanta, GA",Atlanta, GA,Williams Sonoma
119,"I purchased a Le Creuset Heritage Stoneware Rectangular Covered Casserole dish from the website. It was on sale, but not a clearance item. When I received it, it had a defect on the bottom making it more prone to breaking. I attempted to initiate an exchange, but was told the item was not eligible because it was on sale. Clearance items are clearly marked that they are ineligible for return, but sale items are not. This item was fairly expensive (even on sale). Highly disappointed with this purchase and their return/exchange policy.",1," March 1, 2020","Greensboro, NC",Greensboro, NC,Williams Sonoma
120,"I’ve ordered twice from this company and two times they let me down low. First time I ordered a set of wine glasses as a Christmas present, and even called to upgrade the shipping to get my order on time, but the order never arrived. When I called them again they told me that the items were on back order. Then why would you take an extra $35 from me for the expedited shipping and guarantee that my order arrives on time? Bad business. I took it easy and waited for my order which arrived in two months.",1," Feb. 20, 2020","Brooklyn, NY",Brooklyn, NY,Williams Sonoma
121,"I received a Christmas gift from my wife via WS and it worked great for a few weeks, then it died. I tried to exchange it (Feb 1) and I was told I was a few hours late for the final day to exchange Jan 31....A FEW HOURS! (Yes I had the recipe). We paid a lot of money buying this from this store and will not be a customer here anymore in the future as they do not care about their loyal (EX now) customers. I recommend you all buy the same products they sell at the less expensive stores as the customer service is the same now, so you might as well save the money also. I see this store going out of business in the near future, and it's too bad as we used this store for years and always loved the service, I guess that no longer applies.",1," Feb. 1, 2020","Chapel Hill, NC",Chapel Hill, NC,Williams Sonoma
122,"Ordered three sets of 8 ceramic dishes plus other items online. Decided to return the three sets of dishes. Since they are so heavy, I couldn't return them to post office or to the store myself so I called customer service to initiate the return and see if they could do a pick-up. The call lasted over 48 minutes, the rep I was speaking to was very nice, but there was SO MUCH TYPING on her end that it sounded like she was writing a novel. Plus, the first time she submitted the return, she didn't capture the full order. She tried to fix it but still didn't capture the full order. Finally, she did it a third time getting the full order, but resulting in three separate return confirmations. ",1," Jan. 25, 2020","New York, NY",New York, NY,Williams Sonoma
123,"I decided to purchase the jar online order #** on Dec 28 to be picked up in Charlotte, NC (I live in Duncan, SC) since delivery was only available almost 4 months away. Drove all the way to the store to find the vase they shipped had been used in a showroom or somewhere else and it was all dirty inside. They offered to have one shipped to the store for me to pick up at a later day, which it was insane, knowing that I would have to drive another 90 miles back and forth to get the replacement. No offer to expedite it to my home or anything. Really disappointing experience for a jar worth over $200. So sadly I had to take home a used jar. It looks beautiful on the outside, but just knowing I didn't get a new one took away some of the joy about getting it.",1," Jan. 21, 2020","Duncan, SC",Duncan, SC,Williams Sonoma
124,"My wife and I purchased 12 high-end dinner plates. They were ""found"" loose in inventory by very helpful staff. We were satisfied that they were of good quality and undamaged. When we got home, we washed them, including removing all inventory labels, and put them away. We noticed that they were very heavy (about 2 pounds each when placed on a scale.) We continued to use our current plates due to this and discussed whether we would eventually begin to use them for our intended every day use. We decided to return them.",1," Jan. 12, 2020","Fairfield, CT",Fairfield, CT,Williams Sonoma
125,"I ordered a Willie Bird Turkey sometime in October for my Thanksgiving celebration with 12 guests. Tuesday before Thanksgiving, I checked status and it said not shipped. I spent 40 minutes on the phone and while I had an opportunity to by a cheap turkey that night in our small town grocery store, I was convinced I had not a worry in the world, was even sent an email by a supervisor promising I would be receiving my turkey no later than 3 PM on Wednesday. Nope. Instead I got a call Wednesday at 1 PM stating I was not getting my turkey, they don’t know what happened. I was bawling, in tears. No turkey coming for my Thanksgiving. None left at our local store at this point except frozen solid.",1," Jan. 8, 2020","Isle, MN",Isle, MN,Williams Sonoma
126,I bought the handcrafted toffee at Christmas and when I opened it it had a bad taste. I called Ross Park Mall where it was purchased and they said they do not take good back. Very disappointing when you buy a product which is bad and expensive and they will not stand behind their products. I shop there often and have recommended this product and will no longer be a supporter of your store.,1," Jan. 6, 2020","Sewickley, PA",Sewickley, PA,Williams Sonoma
128,On Nov 7th I ordered a Christmas tree thinking it was an artificial tree. I then realized it was a real tree and cancelled the order within the same hour of placing the order. I called and cancelled and was told that it’s takes up to 48 hours to cancel it. I figured it would be ok and unfortunately I was wrong. I then get notification that my shipment was on the way. I then called again and explained to the lady what happened and that I had cancelled the order within an hour of ordering. She called and stopped the shipment and had it returned to sender. So once again I thought all was well and I was wrong again. I then get a card for store credit and I was upset at this time but was still being nice to the store. ,1," Jan. 3, 2020","Olean, NY",Olean, NY,Williams Sonoma
129,"Inexplicably, WS cancelled my online order without even bothering to inform me. After many painful calls with some of the worst customer service representatives I've ever encountered, I learned someone on their end had keyed in the wrong billing info - causing the order to be canceled automatically. The comedy had just begun; however, as additional calls to resolve the problem were answered by rude agents who were incapable of even executing a transfer to a supervisor.  Yesterday, I had a prearranged call back from a supervisor scheduled...never happened. The only other example of this degree of complete incompetence I can think of is when you deal with your local cable company. I will never again buy anything from this over-priced company.",1," Dec. 29, 2019","Cary, NC",Cary, NC,Williams Sonoma
130,"In early December I ordered an item to be delivered as a Christmas gift. It is not December 28, 2019 and the item still has not been delivered. I called customer service today and was told that there is a new estimated delivery date of January 7, 2020. At no time was I notified of this change. When I asked the customer service agent why I had not received any communication I was told that delivery dates are estimates only. Excuse me! That is absolutely unacceptable. While my husband and I were debating whether or not to cancel the order the customer service agent hung up on me. Perhaps Williams Sonoma is unaware of their competitors policies. I strongly encourage you shop elsewhere especially if you are relying on delivery by a specified date. There are many many websites that offer the same products along with good communication and customer service, and you'll probably get your item ahead of schedule. Shop elsewhere.",1," Dec. 28, 2019","Raleigh, NC",Raleigh, NC,Williams Sonoma
131,"I returned a few items which I purchased previously through my gift card. I was told that the money will be deposited to my gift card in 7 days. When the money was not reflected for 7 days, I called customer service which deals with the gift card. The guy was really rude and told me that the shop where I returned products need to call them to transfer that money. Then I called the shop to ask them to look into this matter. The lady was very rude and told me that I had to go to the shop one more time so that she can look at the return transaction. I will make this one last purchase from Williams Sonoma, but I am not going to buy anything from them in the future.",1," Dec. 28, 2019","College Park, MD",College Park, MD,Williams Sonoma
132,"Purchased a Mackenzie Child’s whistling tea kettle online in late August. On December 19 the whistle fell out of the spout. Nothing we try makes it stick back in there. Then a few days later I noticed the shiny metal ring around the top is loose. Called Williams Sonoma just now. Mackenzie Childs doesn’t guarantee their products, and Williams Sonoma only accepts returns for thirty days after purchase. This item costs approximately $150. How a company as large and successful as Williams Sonoma can not stand by what they sell makes me sick. I’ve been a loyal customer for years. Never again will I spend a penny there.",1," Dec. 27, 2019","Philadelphia, PA",Philadelphia, PA,Williams Sonoma
133,"Ordered a gift card as Christmas gift on December 17 to be mailed directly to recipient. Nowhere on the website did it tell me it would take 14 days to mail a GIFT CARD. I sent an email to customer service on the Dec. 21 after I tracked it and it told me it was being ""prepared"" to ship. No response to that email. I sent a second email on Dec. 23 (tracking told me still being prepared to ship). I received response to that email that they were sorry it would not be there on time. ",1," Dec. 27, 2019","Warner, NH",Warner, NH,Williams Sonoma
134,"I ordered a pepper mill on December 9th, it was to be shipped and arrive on December 23rd (which is absurdly long in the first place). It is December 26th and now it is supposed to arrive on January 9th. Well I figured I wouldn't be getting it in time for Christmas so on December 19th, I ordered the same pepper mill from Sur La Table and it arrived on December 24th. I will NEVER give another dime to Williams-Sonoma and my return of the pepper mill that may or may not arrive at this point will be my LAST interaction with this pathetic company.",1," Dec. 26, 2019","Denver, CO",Denver, CO,Williams Sonoma
135,Ordered a Christmas Gift in December 9th - it said it if I ordered now the gift would be delivered by Dec. 20th. As soon as I entered all of my info and clicked “order” it said it would arrive Dec. 24 or Dec 25. I called and they said it was back ordered but would definitely arrive by Dec. 24. Dec. 24th came and went and still no present arrived. On Dec. 22nd it still said I could order the item and get it by Christmas on the website - so they were lying to all other customers that may have been Christmas shopping at this time. Now they cannot even tell me where the item is or if it will ever be shipped. I’ve done a lot of shopping over the the years and I’ve never experienced this type of blatant false advertising from any store.,1," Dec. 26, 2019","Van Nuys, CA",Van Nuys, CA,Williams Sonoma
136,"We ordered two Revolution Toasters on December 2 as holiday gifts and they were in stock. At the time they were supposed to be shipped. A few days later, we received an email that we would have them no later than December 23. Today, December 24 we found out that they won't arrive until December 31 or so. This happens more than occasionally with Williams-Sonoma and we will likely not make purchases from them anymore. My wife even has their branded Visa which is certainly going into the no need to use pile in the safe. If they base a portion of their earnings on booked sales, not delivered, they may make their shareholders happy, until more people abandon shopping with them.",1," Dec. 24, 2019","Boca Raton, FL",Boca Raton, FL,Williams Sonoma
137,"I had placed an order for pastries to be delivered to my mother as a Christmas present. I was attempting to track the package when I found out that they had been back ordered until mid January. I called customer service and had a very helpful person. I thought the issue was resolved, but after checking the status of the new order, it too had been back ordered. My problem with this whole thing is that there was never a notification of being back ordered and had I not caught it, I would have never known until it was too late. The best they could do was to tell me this is out of their control. In this day and age, you can inform your customer that the item was back ordered. I was compensated with free shipping, which they are currently offering on all orders. Poor decision on management's part to handle it this way. I will no longer shop there. I can buy all of their products somewhere else!",1," Dec. 23, 2019","Jones, OK",Jones, OK,Williams Sonoma
138,"NEVER use PAYPAL to buy anything from Willams-Sonoma online. First off... I have been using paypal for YEARS and YEARS and their customer service has always been fantastic and I have NEVER seen anything like this: Williams Sonoma added a Paypal button for use during checkout, but apparently Williams Sonoma does not understand how Paypal works. They charged my account when I made my order, but since they were not ready to ship, they had Paypal put a HOLD on my funds - so Paypal pulled $109.45 from my account on Nov 29 to hold for Williams-Sonoma for 30 days. ",1," Dec. 21, 2019","Canyon Country, CA",Canyon Country, CA,Williams Sonoma
139,"I ordered Christmas gift items to be delivered to three different family households. Some items came as a gift set of hot chocolate and two mugs with other small items. I ordered two extra mugs for each household. Well the hot chocolate Christmas themed gift set is on back order until April 15, 2020. So my family members will each be getting two Christmas cups. Williams-Sonoma was able to cancel the back ordered item. However, the two extra cups cannot be cancelled. I’m waiting for a supervisor to call me about this. My family is going to think I’m nuts. There is nothing else I want from this company. They are a customer service nightmare. ",1," Dec. 19, 2019","Phoenix, AZ",Phoenix, AZ,Williams Sonoma
140,"This place sucks when it comes to ordering online and expecting the item to ship when they say it’s going to ship. I ordered Peppermint Bark on November 28 and the original delivery date was December 12. So December 12 comes around and now the delivery date is the 13, I wait till the 13 and now it’s the 14! It’s been changing every damn day and it’s now the 19. I called customer service twice and both times I was told “ohh it’s being escalated to a manager” mmm hmmm sure. So does your manager live under a rock because absolutely NOTHING has been done!",1," Dec. 19, 2019","Chino, CA",Chino, CA,Williams Sonoma
141,"I ordered two monogrammed aprons for Christmas to be delivered to a different state than where I live. I ordered the items on Dec 11th for guaranteed delivery on or before Dec 24th. I received an email on Dec 17th, that one of the item is back ordered and other will be delivered on Dec 30 or after Jan 1st. When I called to cancel both the orders, they canceled on order and will not cancel the other as it was processed by the computer. I would get a refund if the person decide to return it (which I have no control over) or they would give me $10.00 off for monogram. I wanted simply to cancel the order, now I have to spend more money in order to have a gift for Christmas, as I will be physically there. I had horrible experience with the customer service person. I will suggest not ordering from William Sonoma at all and I am boycotting this store for good.",1," Dec. 18, 2019","Marlborough, MA",Marlborough, MA,Williams Sonoma
142,"I have been a fan of WS for many years and stand behind their instore service and products. However, when you order something online - beware. I ordered items for delivery to my sister and her family for Christmas morning, on the 13th of Dec, received a notice that the waffle maker would arrive on time but the mixes would be delivered after Christmas and even on into the new year ON THE 18th??? Really, you didn't know that when I placed the order that your warehouse was on back order for these items? I would have changed the order then had I known.",1," Dec. 18, 2019","Kaysville, UT",Kaysville, UT,Williams Sonoma
143,Walking in Williams Sonoma and seeing a Star Wars Insta Pot almost made me want to cry. This store touts it’s for the serious cook or chef .... pulleeeze. Items from Frozen and Star Wars - WS you s/b embarassed. I found out food is non returnable - wtf? Not sure what your business model is but gouger comes to mind.,1," Dec. 17, 2019","Buffalo, NY",Buffalo, NY,Williams Sonoma
144,"I had a disastrous customer service experience with William Sonoma. I tried to cancel an order within an hour of placing it, but was told they couldn’t do it until the items had shipped. I called the next day and got the same advice. I tried again the next day and a third person told me the exact same thing. On the 4th day, the order shipped so I called but was told they could not and would not help me. What happened to this once stellar retailer? I won’t be back and I am spreading the word.",1," Dec. 14, 2019","Chicago, IL",Chicago, IL,Williams Sonoma
145,"I placed an order online for some Linzer cookies and less than an hour later I tried to cancel the order, they wouldn't let me. I can understand if you don't want to have certain items returned, however less than an hour after placing an order and being told ""it's too late to cancel"" is unacceptable. Thankfully my credit card company will back me on this and will dispute the charges. I hope Williams Sonoma finds it important enough to lose a customer over a $40 order!",1," Dec. 13, 2019","Wakefield, MA",Wakefield, MA,Williams Sonoma
146,"Placed an order for beach towels delivery at latest Dec 13th. Today Dec. 12th the items are still in the warehouse in California. No information about how or when will be shipped. Being a gift we request to change the address and ship directly to the donee. That also can't be done??? We have to reship at our expense!!! Asked if one of their stores nearby has the item agent could not find any store even though they have one in White Plains, we had to provide the address to them to be able to find it!! The store however does not have it.",1," Dec. 13, 2019","Tuckahoe, NY",Tuckahoe, NY,Williams Sonoma
147,"It takes only 30 seconds for this company - Williams-Sonoma- to take your money to process the order, but it takes forever and a lot of stress/work to return the items. I purchased 3 counter chairs online. They are nice, but unfortunately did not work out for my kitchen. I called the company the very next day to start the return process.",1," Dec. 10, 2019","Jacksonville, FL",Jacksonville, FL,Williams Sonoma
148,"Williams-Sonoma is a triumph of marketing over substance and constantly sends out misleading marketing emails about promotions. They will send an email out that says ""20%"" or ""25% off"" and free shipping. They will include what they say is a unique-to-you coupon code. Then you go to the site and EVERYTHING is either 20% or 25% off. You browse and when you put items in your cart and try to checkout and apply the coupon code, it will not accept it. Even if the items are not exclusions, it will not accept it. I believe they do this in the hopes that you will fall in love with something and then buy it anyway. As far as the nonsense about ""a unique-to-you coupon code"": sure it is, but it is just for them so they can track your behavior from your email to their site and then customize future emails to you. ",1," Dec. 10, 2019","Brooklyn, NY",Brooklyn, NY,Williams Sonoma
149,I have had nothing but problems with my order that I placed with Williams Sonoma. I emailed and called them several times with no assistance. I finally called twice requesting to speak to a supervisor. First time I was on hold for 1 1/2 hours waiting for a supervisor and couldn't wait any longer. I asked that a supervisor call me... No call. I later called again and after 30 minutes talked to a supervisor who displayed no concern whatsoever about the lack of customer service I had received. It's obvious they don't care about their customers. I will never buy from this company again.,1," Dec. 9, 2019","Palmdale, CA",Palmdale, CA,Williams Sonoma
